Title,Year,Rating,Budget,Revenue,Profit,Runtime,genres,production_companies,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Romance,Scifi,Thriller,War,pixaranimationstudios,warnerbros,paramountpictures,columbiapictures,metrogoldwynmayer,universalpictures,lucasfilm,waltdisneypictures,marvelstudios,dccomics
Beauty and the Beast,2017,6.8,160000000,1262886337,1102886337,129,"Family,Fantasy,Romance","Walt Disney Pictures,Mandeville Films",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Fate of the Furious,2017,6.8,250000000,1238764765,988764765,136,"Action,Crime,Thriller","Universal Pictures,Original Film,One Race Films",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Despicable Me 3,2017,6.2,80000000,1020063384,940063384,96,"Action,Animation,Adventure,Family,Comedy",Illumination Entertainment,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy Vol. 2,2017,7.6,200000000,863416141,663416141,137,"Action,Adventure,Comedy,Scifi","Walt Disney Pictures,Marvel Studios",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Wonder Woman,2017,7.2,149000000,820580447,671580447,141,"Action,Adventure,Fantasy","Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,TENCENT PICTURES,Wanda Pictures",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,230000000,794191988,564191988,129,"Adventure,Action,Fantasy,Comedy","Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Moving Picture Company (MPC)",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Logan,2017,7.6,97000000,616801808,519801808,137,"Action,Drama,Scifi","Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,TSG Entertainment",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: The Last Knight,2017,6.2,260000000,604942143,344942143,149,"Action,Scifi,Thriller,Adventure","Paramount Pictures,Di Bonaventura Pictures,Angry Films,Hasbro Studios",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Kong: Skull Island,2017,6.2,185000000,566652812,381652812,118,"Action,Adventure,Fantasy","Legendary Pictures,Warner Bros.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dunkirk,2017,7.5,100000000,519876949,419876949,107,"Action,Drama,History,Thriller,War","Canal+,Studio Canal,Warner Bros.,Syncopy,RatPac-Dune Entertainment,Kaap Holland Film",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Boss Baby,2017,6.1,125000000,498814908,373814908,97,"Animation,Comedy,Family","Twentieth Century Fox Film Corporation,DreamWorks Animation",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy,2017,5.4,125000000,407778013,282778013,110,"Thriller,Action,Adventure","Universal Pictures,Sean Daniel Company,Secret Hideout",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Fifty Shades Darker,2017,6,55000000,378827494,323827494,118,"Drama,Romance","Universal Pictures,Perfect World Pictures (Beijing)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
War for the Planet of the Apes,2017,6.7,152000000,369907963,217907963,140,"Drama,Scifi,War",Chernin Entertainment,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cars 3,2017,6.6,175000000,350170057,175170057,109,"Family,Comedy,Animation,Adventure","Walt Disney Pictures,Pixar Animation Studios",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
xXx: Return of Xander Cage,2017,5.5,85000000,346147658,261147658,107,"Action,Adventure,Crime","Paramount Pictures,Revolution Studios,One Race Films,Rox Productions,Maple Cage Productions",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Lego Batman Movie,2017,7.2,80000000,311950384,231950384,104,"Action,Animation,Comedy,Family,Fantasy","Lin Pictures,Warner Bros. Animation,Warner Bros.,Animal Logic,DC Entertainment,Lord Miller,LEGO System A/S",1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Get Out,2017,7.2,5000000,252434250,247434250,104,"Mystery,Thriller,Horror","Blumhouse Productions,QC Entertainment,Monkeypaw Productions",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alien: Covenant,2017,5.7,97000000,232380243,135380243,122,"Horror,Scifi,Thriller","Twentieth Century Fox Film Corporation,Scott Free Productions,Brandywine Productions,TSG Entertainment",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Baby Driver,2017,7.2,34000000,224511319,190511319,113,"Action,Crime","Big Talk Productions,TriStar Pictures,Media Rights Capital,Working Title Films,Double Negative",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smurfs: The Lost Village,2017,6.2,60000000,197183546,137183546,89,"Adventure,Animation,Comedy,Family","Columbia Pictures,Sony Pictures Animation,Kerner Entertainment Company",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Dog's Purpose,2017,6.6,22000000,194647323,172647323,100,"Comedy,Drama,Family,Fantasy","Universal Pictures,Amblin Entertainment,Pariah Entertainment Group,Original Pictures,Reliance Entertainment,Walden Media,Pariah",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wind River,2017,7.4,11000000,184770205,173770205,111,"Action,Crime,Mystery,Thriller","Thunder Road Pictures,Star Thrower Entertainment,Acacia Filmed Entertainment",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baywatch,2017,6.1,69000000,177856751,108856751,116,"Action,Comedy","Paramount Pictures,Montecito Picture Company, The,Flynn Picture Company,Fremantle Productions,Seven Bucks Productions,Skydance Media,Uncharted",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
John Wick: Chapter 2,2017,6.7,40000000,171539887,131539887,122,"Thriller,Action,Crime","Thunder Road Pictures,LionsGate,87Eleven",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghost in the Shell,2017,5.9,110000000,169801921,59801921,107,"Action,Scifi,Thriller","Paramount Pictures,DreamWorks SKG,Shanghai Film Group,Reliance Entertainment,Arad Productions,Grosvenor Park Productions,Steven Paul Production,Huahua Media,Seaside Entertainment,Amblin Partners,Weying Galaxy Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
King Arthur: Legend of the Sword,2017,6.5,175000000,146175066,-28824934,126,"Action,Drama,Fantasy","Village Roadshow Pictures,Weed Road Pictures,Warner Bros.,Wigram Productions,Safehouse Pictures",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Power Rangers,2017,6.3,100000000,142337240,42337240,124,"Action,Adventure,Scifi","Lionsgate,Saban Brands",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Captain Underpants: The First Epic Movie,2017,6.5,38000000,110824373,72824373,89,"Action,Animation,Comedy,Family","DreamWorks Animation,Scholastic Entertainment",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Life,2017,6.3,58000000,100541806,42541806,103,"Horror,Scifi,Thriller","Columbia Pictures,Skydance Productions,Sony Pictures Entertainment (SPE),Nvizage",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Valerian and the City of a Thousand Planets,2017,6.7,197471676,90024292,-107447384,137,"Adventure,Scifi,Action",EuropaCorp,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Atomic Blonde,2017,6.1,30000000,90007945,60007945,115,"Action,Thriller","Denver and Delilah Productions,Film i V�_st,Focus Features,87Eleven,Closed on Mondays Entertainment",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Going in Style,2017,6.6,25000000,84618541,59618541,96,"Crime,Comedy,Drama","New Line Cinema,Village Roadshow Pictures,De Line Pictures,Warner Bros.,RatPac-Dune Entertainment",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rings,2017,4.8,25000000,83080890,58080890,102,Horror,"Paramount Pictures,Vertigo Entertainment,Macari/Edelstein,Parkes+MacDonald Image Nation,Waddieish Claretrap",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Dark Tower,2017,5.7,60000000,71000000,11000000,95,"Action,Western,Scifi,Fantasy,Horror","Imagine Entertainment,Weed Road Pictures,Media Rights Capital,Sony Pictures Entertainment",1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Emoji Movie,2017,5.8,50000000,66913939,16913939,86,"Comedy,Family,Animation","Columbia Pictures,Sony Pictures Animation",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Snatched,2017,5.2,42000000,60845711,18845711,90,"Action,Comedy","Twentieth Century Fox Film Corporation,Chernin Entertainment,Feigco Entertainment",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shack,2017,6.9,20000000,57330873,37330873,132,"Drama,Fantasy","Summit Entertainment,Netter Productions",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rough Night,2017,5.6,20000000,45056771,25056771,101,"Drama,Comedy","Sony Pictures Entertainment,Paulilu Productions",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 Meters Down,2017,5.1,5500000,44235023,38735023,89,"Drama,Thriller,Horror,Adventure","Dimension Films,Tea Shop & Film Company,The Fyzz Facility,Flexibon Films",0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
T2 Trainspotting,2017,7.1,18000000,41412709,23412709,117,"Crime,Drama","DNA Films,TriStar Pictures,Cloud Eight Films,Creative Scotland,Decibel Films,Film4",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gifted,2017,7.7,7000000,37461045,30461045,101,Drama,"Fox Searchlight Pictures,FilmNation Entertainment,Dayday Films,Grade A Entertainment",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepless,2017,5.8,30000000,32540674,2540674,95,"Action,Crime,Thriller","Vertigo Entertainment,FilmNation Entertainment,Open Road Films (II),Riverstone Pictures",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHiPS,2017,6.2,25000000,26800152,1800152,100,"Action,Comedy,Crime","Warner Bros.,Primate Pictures",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Bye Bye Man,2017,5.1,7400000,26667197,19267197,96,"Horror,Thriller","Intrepid Pictures,Los Angeles Media Fund (LAMF)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Cure for Wellness,2017,6,40000000,26559557,-13440443,146,"Mystery,Thriller,Horror,Scifi","Studio Babelsberg,Regency Enterprises,Twentieth Century Fox,New Regency Pictures,TSG Entertainment,Blind Wink Productions",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Beguiled,2017,5.8,10500000,25442939,14942939,93,"Drama,Western","American Zoetrope,Focus Features",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidnap,2017,6,21000000,24527158,3527158,95,"Drama,Thriller","Ingenious Media,Di Bonaventura Pictures,Gold Star Films,Lotus Entertainment (I),606 Films,Well Go USA Entertainment,Rumble Entertainment",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Circle,2017,5.4,18000000,20497844,2497844,110,"Drama,Thriller,Scifi","Likely Story,Playtone,Image Nation",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unforgettable,2017,5.7,12000000,17768012,5768012,100,"Drama,Thriller",DiNovi Pictures,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Space Between Us,2017,7.2,30000000,14793385,-15206615,121,"Romance,Adventure,Scifi,Drama","Southpaw Entertainment,STX Entertainment,Los Angeles Media Fund (LAMF)",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Zookeeper's Wife,2017,7.1,20000000,13162475,-6837525,126,"Drama,History","Scion Films,LD Entertainment,Czech Anglo Productions",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
